"### Downloaded by Andrew Hamilton, Aug 6, 2020, from https://www.ncdc.noaa.gov/cdo-web/datasets/GHCND/stations/GHCND:USC00311677/detail",,,,,,
STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00311677,"CHAPEL HILL 2 W, NC US",3/17/1920,0.24,,74,50
USC00311677,"CHAPEL HILL 2 W, NC US",3/18/1920,0.45,,69,45
USC00311677,"CHAPEL HILL 2 W, NC US",3/19/1920,0.22,,67,40
USC00311677,"CHAPEL HILL 2 W, NC US",3/20/1920,0,,65,38
USC00311677,"CHAPEL HILL 2 W, NC US",3/21/1920,0,,66,40
USC00311677,"CHAPEL HILL 2 W, NC US",3/22/1920,0,,67,28
USC00311677,"CHAPEL HILL 2 W, NC US",3/23/1920,0,,64,38
USC00311677,"CHAPEL HILL 2 W, NC US",3/24/1920,0,,73,43
USC00311677,"CHAPEL HILL 2 W, NC US",3/25/1920,0,,76,46
USC00311677,"CHAPEL HILL 2 W, NC US",3/26/1920,0.25,,78,55
USC00311677,"CHAPEL HILL 2 W, NC US",3/27/1920,0,,78,59
USC00311677,"CHAPEL HILL 2 W, NC US",3/28/1920,0,,68,52
USC00311677,"CHAPEL HILL 2 W, NC US",3/29/1920,0.78,,81,51
USC00311677,"CHAPEL HILL 2 W, NC US",3/30/1920,0,,74,43
USC00311677,"CHAPEL HILL 2 W, NC US",3/31/1920,0,,71,51
USC00311677,"CHAPEL HILL 2 W, NC US",4/1/1920,0.72,,67,47
USC00311677,"CHAPEL HILL 2 W, NC US",4/2/1920,0.36,,72,60
USC00311677,"CHAPEL HILL 2 W, NC US",4/3/1920,0,,71,45
USC00311677,"CHAPEL HILL 2 W, NC US",4/4/1920,0.3,,70,43
USC00311677,"CHAPEL HILL 2 W, NC US",4/5/1920,0.7,,67,50
USC00311677,"CHAPEL HILL 2 W, NC US",4/6/1920,0,,,
USC00311677,"CHAPEL HILL 2 W, NC US",4/7/1920,0,,,
USC00311677,"CHAPEL HILL 2 W, NC US",4/8/1920,0,,,
USC00311677,"CHAPEL HILL 2 W, NC US",4/9/1920,0.43,,57,43
USC00311677,"CHAPEL HILL 2 W, NC US",4/10/1920,0,,64,40
USC00311677,"CHAPEL HILL 2 W, NC US",4/11/1920,0,,71,30
USC00311677,"CHAPEL HILL 2 W, NC US",4/12/1920,0.32,,72,39
USC00311677,"CHAPEL HILL 2 W, NC US",4/13/1920,1.23,,58,35
USC00311677,"CHAPEL HILL 2 W, NC US",4/14/1920,0,,57,29
USC00311677,"CHAPEL HILL 2 W, NC US",4/15/1920,0,,67,36
USC00311677,"CHAPEL HILL 2 W, NC US",4/16/1920,0,,84,42
USC00311677,"CHAPEL HILL 2 W, NC US",4/17/1920,0,,74,36
USC00311677,"CHAPEL HILL 2 W, NC US",4/18/1920,0,,62,39
USC00311677,"CHAPEL HILL 2 W, NC US",4/19/1920,0,,63,42
USC00311677,"CHAPEL HILL 2 W, NC US",4/20/1920,0.09,,57,51
USC00311677,"CHAPEL HILL 2 W, NC US",4/21/1920,0.72,,87,56
USC00311677,"CHAPEL HILL 2 W, NC US",4/22/1920,0,,88,59
USC00311677,"CHAPEL HILL 2 W, NC US",4/23/1920,0,,,
USC00311677,"CHAPEL HILL 2 W, NC US",4/24/1920,0,,,
USC00311677,"CHAPEL HILL 2 W, NC US",4/25/1920,0,,66,40
USC00311677,"CHAPEL HILL 2 W, NC US",4/26/1920,0.65,,,
USC00311677,"CHAPEL HILL 2 W, NC US",4/27/1920,0.85,,,
USC00311677,"CHAPEL HILL 2 W, NC US",4/28/1920,0.5,,,
USC00311677,"CHAPEL HILL 2 W, NC US",4/29/1920,0,,,
USC00311677,"CHAPEL HILL 2 W, NC US",4/30/1920,0,,,
USC00311677,"CHAPEL HILL 2 W, NC US",5/1/1920,0,,70,45
USC00311677,"CHAPEL HILL 2 W, NC US",5/2/1920,0,,65,42
USC00311677,"CHAPEL HILL 2 W, NC US",5/3/1920,0,,69,50
USC00311677,"CHAPEL HILL 2 W, NC US",5/4/1920,0,,70,48
USC00311677,"CHAPEL HILL 2 W, NC US",5/5/1920,0,,69,40
USC00311677,"CHAPEL HILL 2 W, NC US",5/6/1920,0,,70,43
USC00311677,"CHAPEL HILL 2 W, NC US",5/7/1920,0,,69,42
USC00311677,"CHAPEL HILL 2 W, NC US",5/8/1920,0.63,,70,52
USC00311677,"CHAPEL HILL 2 W, NC US",5/9/1920,0,,74,45
USC00311677,"CHAPEL HILL 2 W, NC US",5/10/1920,0,,77,42
USC00311677,"CHAPEL HILL 2 W, NC US",5/11/1920,0,,79,48
USC00311677,"CHAPEL HILL 2 W, NC US",5/12/1920,0,,85,51
USC00311677,"CHAPEL HILL 2 W, NC US",5/23/1920,0,,80,51
USC00311677,"CHAPEL HILL 2 W, NC US",5/24/1920,0,,70,53
