,0
0,1539.7082637324688
1,1539.7082637324688
2,1344.9745764657264
3,1081.1928982802742
4,749.3915264964136
5,899.9186483559932
6,354.33837262121745
7,1463.291339336675
8,341.52932481576875
9,1092.6346829688773
10,762.1466319653191
11,1377.2252189425901
12,483.4594608729303
13,1522.6818209900782
14,1029.948269915866
15,1497.1478251545234
16,656.8719839120326
17,828.7851471707602
18,1384.0064298946786
19,842.6991619865512
20,832.1507416756967
21,1232.1486701615906
22,806.981160367789
23,458.0620927179164
24,917.0838037569722
25,849.1181023834507
26,1148.1498836768974
27,1254.4195924532414
28,938.9777003156654
29,1018.2959032729041
30,780.198364166302
31,977.6874890828874
32,1081.3474188694333
33,376.40109647633517
34,818.4231826490611
35,977.1600462987816
36,1177.299748814085
37,971.9436614159331
38,1238.4394605747468
39,680.7565713556003
40,1051.9977656222768
41,1343.469489083163
42,631.9142343755167
43,641.6567769699718
44,500.9938752283089
45,799.3679254506524
46,1547.8532551541132
47,999.1549314851068
48,1049.2747538404224
49,646.6539465571917
50,422.09756197086654
51,654.4969195545884
52,725.224054163449
53,882.6618746401336
54,1086.1472763973584
55,919.3211067394353
56,1058.5121949473491
57,1236.4891564140914
58,425.39806309732745
59,1011.3303344770607
60,1076.3648701119816
61,917.3394633916837
62,925.7274990782654
63,420.0256574000046
64,541.770244368224
65,716.4285816698273
66,493.7028094352965
67,847.4405211716465
68,470.32784255491714
69,1013.0193815336384
70,566.9327094743419
71,751.569775303804
72,891.8756313325914
73,935.7486805503304
74,887.1955985184925
75,649.0230138867968
76,699.7342577031641
77,539.4056635712782
78,545.3749149084737
79,280.40063623274847
80,722.0716553851031
81,753.3309512223419
82,686.9926339077998
83,651.1104630907993
84,490.53654096088957
85,322.7701791475601
86,650.8138694387612
87,515.9866424031544
88,949.5837264285988
89,831.4102211372289
90,779.0602690420861
91,797.0082504142617
92,769.0460197763676
93,1069.1896226772733
94,663.9234203650351
95,307.0996689178208
96,558.9780129426454
97,797.0214347046104
98,486.21849121939164
99,252.473890276971
100,273.78942452079696
101,351.5117897869225
102,500.2457667688366
103,832.2229111337007
104,560.3968887893161
105,574.5547348023979
106,641.9077810434751
107,695.2751482294392
108,850.3431721100837
109,585.1152278978243
110,540.059410357484
111,582.1023817494751
112,568.3414781441734
113,1021.2952594162069
114,764.9598239445136
115,1007.4822014227935
116,753.4747540625674
117,748.3042070033023
118,736.8442318777328
119,820.5713218897334
120,495.701445844585
121,547.8947016149746
122,615.1863602226243
123,807.3611951806982
124,861.7266891824464
125,831.3598450062842
126,1028.2534700174253
127,359.9586945930611
128,585.6460193133498
129,679.1258572213658
130,450.63393266383565
131,626.9481581396818
132,699.6242563179491
133,712.8134579487952
134,608.1182053027621
135,659.0726711421067
136,737.4739302119289
137,573.0955418880484
138,1070.9460188206804
139,1137.3814607833983
140,866.3984504424138
141,1123.1333985800056
142,411.80101949816134
143,512.0023769674657
144,578.7098912464397
145,897.8714231046566
146,600.0047335713334
147,836.8851619530376
148,781.8191090185326
149,921.8216299049652
150,666.5134180310494
151,1102.6658169952686
152,1102.72691491475
153,885.4797707030485
154,1091.047353712
155,1067.8053828505915
156,1088.4748577630846
157,483.4380382924225
158,1743.6997181804265
159,1276.0148286687775
160,1103.5254882418692
161,1468.5660214858408
162,957.1618847444736
163,689.3135049146168
164,1326.3955503308532
165,1103.6524246543336
166,1277.409954700029
167,1063.3099922155943
168,1205.0829488290226
169,846.8025347095403
170,1130.6909231102752
171,872.5189746954277
172,1423.3030922333587
173,1469.5318808648244
174,1496.1735551312108
175,987.588068162034
176,1088.7253852367103
177,772.318595681879
178,1439.8727247107595
179,995.5338955541362
180,1811.8704999059548
181,1306.127012191412
182,1327.670938406707
183,1143.4929848921595
184,996.5378701345944
185,1174.4586071237907
186,1599.3262039375586
187,1095.3235368101282
188,949.1531116381836
189,906.6617488591164
190,1659.0959096523675
191,1102.8663881885868
192,1298.879891715156
193,1730.5805494998044
194,1262.0694978804565
195,1034.1704008934894
196,1162.0780485378536
197,1158.1294406613044
198,903.93004402851
199,1049.0066982899878
200,954.4477744121884
201,1201.139603258031
202,1778.1054247382858
203,741.584491273228
204,1000.6045882182277
205,1009.5778273315196
206,1075.4903251938292
207,1145.679588624613
208,2161.334291485284
209,1196.4977485110758
210,1063.6953916827224
211,1318.74367221511
212,1197.381591188896
213,1822.732488943592
214,1411.6403329185614
215,1362.2827516121772
216,1112.974227263963
