,0
0,5000.0
1,3460.291736267531
2,3460.291736267531
3,3655.0254235342736
4,3754.521655659432
5,4250.6084735035865
6,4100.081351644007
7,4645.661627378782
8,3536.7086606633247
9,4658.470675184231
10,3907.3653170311227
11,4237.853368034681
12,3622.77478105741
13,4516.54053912707
14,3477.3181790099216
15,3909.35848275812
16,3502.852174845477
17,4343.128016087967
18,4171.21485282924
19,3615.9935701053214
20,4157.300838013449
21,4167.849258324303
22,3767.8513298384096
23,4193.018839632211
24,4541.937907282084
25,4082.916196243028
26,4148.772506090883
27,3851.8501163231026
28,3745.5804075467586
29,4061.0222996843345
30,3981.704096727096
31,4219.801635833698
32,4022.3125109171124
33,3918.6525811305664
34,4623.598903523665
35,4181.576817350939
36,4022.8399537012183
37,3822.700251185915
38,4028.056338584067
39,3761.5605394252534
40,3768.5239967791085
41,3948.002234377723
42,3656.530510916837
43,4368.085765624483
44,4358.343223030028
45,4499.006124771691
46,4200.632074549348
47,3452.146744845887
48,4000.8450685148932
49,3950.7252461595776
50,4353.346053442809
51,4577.902438029134
52,4345.503080445412
53,4274.775945836551
54,4117.338125359866
55,3913.8527236026416
56,4080.6788932605646
57,3941.487805052651
58,3763.5108435859083
59,4574.601936902673
60,3988.6696655229393
61,3923.635129888018
62,4082.6605366083163
63,4074.2725009217347
64,4579.974342599995
65,4458.229755631776
66,4283.5714183301725
67,4506.297190564704
68,4152.559478828353
69,4529.672157445083
70,3986.9806184663616
71,4433.067290525658
72,4248.430224696196
73,4108.124368667409
74,4064.2513194496696
75,4112.804401481508
76,4350.976986113204
77,4300.265742296836
78,4460.594336428721
79,4454.625085091527
80,4719.599363767252
81,4277.928344614897
82,4246.669048777658
83,4313.0073660922
84,4348.889536909201
85,4509.463459039111
86,4677.22982085244
87,4349.186130561238
88,4484.013357596846
89,4050.4162735714012
90,4168.589778862771
91,4220.9397309579135
92,4202.991749585738
93,4230.953980223632
94,3930.8103773227267
95,4336.076579634965
96,4692.900331082179
97,4441.021987057355
98,4202.97856529539
99,4513.781508780608
100,4747.526109723029
101,4726.210575479203
102,4648.488210213078
103,4499.754233231163
104,4167.777088866299
105,4439.603111210684
106,4425.445265197603
107,4358.092218956524
108,4304.724851770561
109,4149.656827889916
110,4414.884772102176
111,4459.940589642516
112,4417.897618250525
113,4431.658521855827
114,3978.704740583793
115,4235.040176055487
116,3992.5177985772066
117,4246.525245937432
118,4251.6957929966975
119,4263.155768122268
120,4179.428678110266
121,4504.298554155415
122,4452.105298385026
123,4384.813639777376
124,4192.638804819302
125,4138.2733108175535
126,4168.640154993715
127,3971.7465299825744
128,4640.041305406939
129,4414.35398068665
130,4320.874142778634
131,4549.366067336165
132,4373.051841860318
133,4300.375743682051
134,4287.186542051205
135,4391.881794697238
136,4340.927328857893
137,4262.526069788071
138,4426.9044581119515
139,3929.0539811793196
140,3776.41372454229
141,4133.601549557587
142,3876.8666014199944
143,4588.198980501838
144,4487.997623032535
145,4421.29010875356
146,4102.128576895343
147,4399.995266428667
148,4163.114838046962
149,4218.180890981467
150,4078.1783700950346
151,4333.48658196895
152,3897.334183004731
153,3897.27308508525
154,4114.520229296952
155,3908.9526462880003
156,3873.995818556389
157,3542.553439120029
158,4274.596211875395
159,3256.3002818195737
160,3215.239024981981
161,3262.728099153591
162,3089.8315992939233
163,3305.723462357192
164,3801.065602121491
165,3673.6044496691466
166,3818.300367250897
167,3722.5900452999713
168,3782.0792121171507
169,3794.917051170977
170,3954.468578931573
171,3869.3090768897246
172,3968.250886061587
173,3576.6969077666413
174,3276.9865478178563
175,3225.0032532935006
176,3886.1131235244375
177,3911.2746147632897
178,4227.681404318121
179,3386.9571236346724
180,3638.97298933762
181,3188.1295000940454
182,3015.287057221626
183,3027.145926639636
184,3273.497937595277
185,3482.8977832412584
186,3560.9694471470293
187,3400.6737960624414
188,3346.702871556697
189,3493.578737140987
190,3557.7041064352525
191,3076.5058495225794
192,2889.1937227011176
193,2844.572162976954
194,1929.6146151787962
195,1929.1877500476269
196,2446.612305961627
197,2912.158851764567
198,3005.412154013805
199,3154.476253568589
200,3044.6297870334893
201,3184.1646430496667
202,3513.1310943458225
203,2981.639968194852
204,3386.123342273887
205,3339.3809905286444
206,3517.0288965353334
207,3668.139134558466
208,3787.5190770160552
209,2740.205373074497
210,2822.9298573161022
211,2901.691022630114
212,2549.502279447309
213,2584.4483181968576
214,2103.7957650705575
215,2051.3539611733886
216,2066.0552813033464
217,2273.4331579840746
218,1832.8095242607653
219,1474.5657866443348
220,2241.766218249513
221,2825.8800954217195
222,2652.99246072005
223,2527.7675956740236
224,2024.448224017816
225,2419.4992165588988
226,2474.4692088756506
227,2441.808366686587
228,2367.927231886705
229,2582.8414091572567
230,2758.55581156379
231,1979.616789998857
232,1723.9587166770132
233,2165.1632994128154
234,2656.218659227833
235,2631.661214580717
236,2527.314854259563
237,2522.533202846382
238,1662.3828964576326
239,1381.9831374180922
240,904.0919872858458
241,463.1998325244788
242,1330.0669621319123
243,1668.1294737015317
244,1334.3929564195516
245,1317.375382118379
246,1375.0181212162988
247,1866.7104045538354
248,2381.713027987383
249,2927.22233899016
250,3406.7517789213953
251,3564.832397541878
252,3927.6957070061585
253,3927.576440881858
254,4192.786991502259
255,3597.081973774299
256,3827.3726857563533
257,4049.228400245513
