 sweFeb sweApr gen pow rev
1988 21.0 19.7 1.4226739210000001 37.48348591734793 121.02101921691808
1989 17.2 26.3 1.4600640440000001 46.62345876312329 123.02082909676919
1990 5.4 15.2 1.6314922020000002 37.98181158048269 127.94587997436734
1991 2.5 21.4 1.24166685 29.3416139932351 112.71215760182653
1992 9.4 17.3 1.300621 46.14047331413253 116.30090103360806
1993 28.4 41.1 1.81737104 44.621726119121384 136.8041818457027
1994 7.1 17.6 1.28204949 44.73859104738119 114.59562887741886
1995 32.0 52.5 2.2811318020000004 50.626490783593425 161.0276639651679
1996 16.4 35.7 1.9439876640000002 32.16562904513701 129.93013583486317
1997 48.3 40.0 2.273421821 36.997427565624285 148.93068365187673
1998 19.1 45.2 2.0358539739999997 45.5061518906912 147.8351840416522
1999 18.0 33.0 1.897493497 48.428140903769936 143.720019406673
2000 12.3 28.3 1.9004685780000001 37.76479126824455 134.05770457305394
2001 9.8 21.0 1.22870351 45.66061950185061 114.32637010841795
2002 22.1 28.4 1.7376777110000006 35.80883899507562 125.57327069107498
2003 21.4 24.3 1.611994188 41.8496822244949 128.36943502659403
2004 20.0 27.4 1.519822738 31.093983746781078 116.8793612605819
2005 27.4 40.3 1.89972977 40.381197392846055 137.8044951330843
2006 31.3 47.6 1.9147151359999999 46.76553933768499 142.9853422577114
2007 9.3 20.1 1.4231115 34.01243094850579 117.3569570581522
2008 18.5 31.7 1.2709983000000002 27.69366104850836 110.31740171718471
2009 15.2 26.5 1.5204837 37.81259760335997 122.08157897256766
2010 18.0 29.8 1.5250412999999998 51.22843558312045 128.04187190234242
2011 26.3 47.0 2.1285965 39.11615990254017 143.94062859773274
2012 7.2 14.8 1.0868531000000001 42.56361685267259 105.44291729465141
2013 19.0 17.7 1.2902635000000002 38.226268203587956 113.03468268994676
2014 3.0 16.0 1.0388331 45.80382168960014 106.1573629869527
2015 5.0 4.0 1.1125801 32.43126548288334 107.68946484069632
2016 19.0 26.5 1.44737658 45.15450268393298 125.86767862466773
